,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews
0,Houlihan's,SgfUsaXsvJU01KW9XmICjw,New Brunswick,NJ,Bars,40.4791586493505,-74.4230177226172,$$,155
1,Tavern on George,wM8fhnGuFGKrgPWpoVV77Q,New Brunswick,NJ,Bars,40.49497,-74.44359,$$,81
2,Midori Sushi,BxUCY9fiTKQiU-CTLqK2XA,Highland Park,NJ,Japanese,40.49922,-74.42867,$$,264
3,Noodle Gourmet,mmFBqps7L4dl8oUEkNYL7g,New Brunswick,NJ,Chinese,40.49801,-74.44856,$,331
4,Stage Left Steak,DPyTHTX6jr1ND7PXYS9z4Q,New Brunswick,NJ,American (Traditional),40.493785005224,-74.4437874349408,$$$,187
5,Rutgers Gardens,nKWDorwjybpPZWSWWldxnA,New Brunswick,NJ,Botanical Gardens,40.473715,-74.423114,0,47
6,George Street Ale House,Wn4OJxDd4wZFAZet-eSrhw,New Brunswick,NJ,Gastropubs,40.49567,-74.44435,$$,245
7,The Ale 'N 'Wich Pub,MLzryqQI4nzOVsb0ABybpw,New Brunswick,NJ,Pubs,40.4961967468262,-74.4560699462891,$,67
8,Sophie's Bistro,PnGgduDWQOOEIrDJpqpxcg,Somerset,NJ,French,40.491369,-74.4723549,$$,210
9,Roosterspin,LFhqaEVryfeS-KGXrXTdRQ,New Brunswick,NJ,Bars,40.496362,-74.445401,$$,141
10,Bridge Turkish & Mediterranean Grill,twt864sd8iheVma7f0Re5w,Highland Park,NJ,Mediterranean,40.49996,-74.4278999,$$,154
11,Chai Chenak,Xp0__IEyi-5ZJc5hCXv1RQ,New Brunswick,NJ,Coffee & Tea,40.494626,-74.443543,0,93
12,Little Sheep Mongolian Hot Pot,IhTkp4rmZBeail8VDfi3JA,Edison,NJ,Mongolian,40.512718928299,-74.4080269330231,$$,602
13,King Of Gyro,jyNryxAdX4AC__6vRK8aBA,New Brunswick,NJ,Halal,40.4990135,-74.4515216,$,52
14,Thai Noodle,3qhaTcmTAbXusKf0fJkmVQ,New Brunswick,NJ,Thai,40.49982,-74.45463,$,138
15,R U Hungry,8xKGkpKYvlJ0rI5Kh-vq9A,New Brunswick,NJ,Food Trucks,40.5040610568158,-74.4523160416381,$,156
16,Barca City Cafe & Bar,CiRMhrr8wNbxcLWKRmDwhg,New Brunswick,NJ,Spanish,40.49808,-74.4488,$$,120
17,Truly Yogurt,Ta7WxDqIYetopbQhPj_ixQ,New Brunswick,NJ,Ice Cream & Frozen Yogurt,40.4974224308867,-74.4481585855476,$,104
18,Evelyn's Restaurant,ASu4enVadGH_k06ESCxlAA,New Brunswick,NJ,Middle Eastern,40.49806,-74.44868,$$,162
19,White Rose Burgers,sDFz3CorqCqxTL9_HFPRMg,Highland Park,NJ,Burgers,40.502314,-74.415314,$,207
20,The Sweet Spot,5DTf4T_nBcg5vZ6qDRMlow,Highland Park,NJ,Desserts,40.49975433,-74.42522917,0,59
21,Bayleaf Grill,4b8rxMf3fYPS0aWfV07_eg,Highland Park,NJ,Indian,40.4992091,-74.4272637,$$,71
22,Cinco De Mayo,gkm7HP_31Eq4_2SRPio-Yw,New Brunswick,NJ,Mexican,40.49081,-74.45695,$,123
23,Krispy Pizza,D_2TkK2Gb_TSCaz2ujgP0w,New Brunswick,NJ,Pizza,40.4995944,-74.4483752,$,66
24,Olive Branch Bar & Restaurant,qkETtvhJ3dGaNznv-rmOxw,New Brunswick,NJ,American (Traditional),40.5014695619779,-74.4529374721161,$,67
25,El Sol Mexican Restaurant,5eE-bajaJYjnOzRmRrOKww,Highland Park,NJ,Mexican,40.499442,-74.427484,$$,149
