,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews
0,418 Burgers,hmrXk8jrLredlvQmcYtvjA,Highland Park,NJ,American (Traditional),40.49993610299,-74.4253161549568,$,165
1,Diesel and Duke,IOyhF0TRcIFm5dwdIsUjVA,New Brunswick,NJ,Burgers,40.4997241,-74.4532267,$,176
2,Seed Burger,Gh35sccryAIodatISAUKJg,New Brunswick,NJ,Burgers,40.49993,-74.45495,$$,53
3,White Rose Burgers,sDFz3CorqCqxTL9_HFPRMg,Highland Park,NJ,Burgers,40.502314,-74.415314,$,207
4,Elevation Burger,QatkL63akw5foYQIcEzq_g,New Brunswick,NJ,Burgers,40.499325,-74.448637,0,34
5,Tavern on George,wM8fhnGuFGKrgPWpoVV77Q,New Brunswick,NJ,Bars,40.49497,-74.44359,$$,81
6,The Blue Horse,im0lceO_PEluTMZdcrC3uA,Highland Park,NJ,Diners,40.4992115419489,-74.4281546026468,$$,75
7,Burgerim,Mr5g_xDNl1ghk8bRa0m79Q,New Brunswick,NJ,Burgers,40.49798,-74.44832,0,22
8,Destination Dogs,SVWxU5obi6tnHIGVl2a5fQ,New Brunswick,NJ,Hot Dogs,40.4947108291364,-74.4481708172015,$$,869
9,Fritz's Restaurant,KpJKPYcH9V37JE5gsWz0yQ,New Brunswick,NJ,American (Traditional),40.4992391255818,-74.451983932837,$,241
10,25 Burgers & Pizza,hSY-Fy7WrouIfm4BOqrC7g,New Brunswick,NJ,Burgers,40.4966223,-74.4468286,$,139
11,Zinburger Wine & Burger Bar,pJ7rVXvAmUjrFpBDvTNMRQ,Edison,NJ,Wine Bars,40.516728,-74.372622,$$,349
12,Hansel 'n Griddle,t_adP1UMr8Hkjn3K--Y8Aw,New Brunswick,NJ,Sandwiches,40.4991354060364,-74.4527822900469,$,273
13,Smashburger,d8pOa2NMk8HGdefVon-CwA,North Brunswick,NJ,Burgers,40.4620365252511,-74.4605427027242,$$,102
14,INC American Bar & Kitchen,S9qg-6LQtkk99kBHZLv1Jg,New Brunswick,NJ,American (New),40.4925980248019,-74.4435093298896,$$,229
15,30 Burgers,cSLYiw4NLrgnDbtc_0k9Jw,East Brunswick,NJ,Burgers,40.45422,-74.39928,$,53
16,Five Guys,5yuZ8xyIcb11uNr8Y1XOug,North Brunswick,NJ,Burgers,40.4609401,-74.4587139,$$,37
17,Scarlet 158 Deli,QoR7j4VW2PShyy9CTiGm1Q,New Brunswick,NJ,Delis,40.49829,-74.45765,0,3
18,Elixir Bar & Grill,jakk8dqkNPArNqNg3mHeHA,Edison,NJ,Tex-Mex,40.5011909066979,-74.3927383121075,$$,153
19,Gio's Deli,fO4SH50_5yPL_8wsXwSLzg,New Brunswick,NJ,Wraps,40.495466,-74.444838,$$,10
20,George Street Ale House,Wn4OJxDd4wZFAZet-eSrhw,New Brunswick,NJ,Gastropubs,40.49567,-74.44435,$$,245
21,Five Guys,ydINVSu6fYeLyoXH66P5-w,South Plainfield,NJ,Burgers,40.54962,-74.42569,$,39
22,Park Place,jrancCVFAe3VGLnUM0cQaw,Highland Park,NJ,Kosher,40.498001,-74.431449,$$,18
23,White Castle,BFApZ1ZH4-dBU7lrVk15Ag,New Brunswick,NJ,Fast Food,40.4855431672125,-74.4713161793865,$,44
24,Clydz,MCn2ruEcchjL0UOqROaEMQ,New Brunswick,NJ,American (New),40.495089,-74.445487,$$,644
25,Flame Kabob House,rpJhltERJlUuFcV3iQur7w,Franklin Township,NJ,Halal,40.51532,-74.48855,0,14
26,PJ's Grill & Pizza,Sxl30p6GXmHfEmXzEPPsSQ,New Brunswick,NJ,Pizza,40.4998488455674,-74.4544027263963,$,119
27,Old Man Rafferty's,kPqMRmkKbz88cOJdcsifVA,New Brunswick,NJ,Bars,40.4965737,-74.4437916,$$,545
28,Stage Left Steak,DPyTHTX6jr1ND7PXYS9z4Q,New Brunswick,NJ,American (Traditional),40.493785005224,-74.4437874349408,$$$,187
29,Golden Lion Inn,V406kWdv4-G-YBIEwc3i5g,Milltown,NJ,American (Traditional),40.45094,-74.43569,$,76
30,"MOOYAH Burgers, Fries & Shakes",wHl41FX3fEHVQbEqeFAl7w,Franklin Township,NJ,Burgers,40.529237,-74.539237,$$,56
31,Red Robin Gourmet Burgers and Brews,5INBYUVqCav0R0ZTOG02Ng,South Plainfield,NJ,Burgers,40.55531,-74.430693,$$,162
32,Smashburger,5BDRCRNPCPGlWmNq_oNESw,East Brunswick,NJ,Burgers,40.434729749932,-74.3913401920461,$,130
33,Harvest Moon Brewery / Cafe,JpQznQlrkgZQogLOQXH9mg,New Brunswick,NJ,Beer Bar,40.4961759134207,-74.4443214067832,$$,407
34,Judy's kitchen,aFhQeJQIrR1imAhjUMAccw,New Brunswick,NJ,Spanish,40.4979628408067,-74.451482825053,$,25
35,Changarro Las Rosas Chimi Pollo,YxwYAEilsW9n266B7Ko9gw,New Brunswick,NJ,Latin American,40.480004,-74.445358,0,1
36,Five Guys,6Sleh5v7oAHCgfIoijtupg,East Brunswick,NJ,Burgers,40.428452,-74.3861491,$,12
37,Burgerim - Metuchen,o1Y-sXvZeNHhPgm_jr_N7w,Metuchen,NJ,Burgers,40.54079,-74.3675,0,19
38,Twenty/20 Taphouse,plbuCrJd7_mlDLERvV-39Q,Somerset,NJ,Burgers,40.533787,-74.509521,$$,87
39,Veganized,QMBbqDZmYZc0dXFwBgf1_g,New Brunswick,NJ,Vegan,40.494828,-74.444994,$$,524
40,Brick House Bar & Grill,zlLs4R_oYlcwgRLLGInVkg,Sayreville,NJ,Bars,40.45869,-74.35179,$$,45
41,Hub City Brewhouse,9LarearMJdGmt7lWY3OUtA,New Brunswick,NJ,Sports Bars,40.4942410909884,-74.4432822580296,$$,74
42,Deccan Delights,V7EgzmIMisdYWVA8S07fUA,New Brunswick,NJ,Indian,40.49968,-74.45304,0,1
43,Stuff Yer Face,-PlK17Po5nchDnqNoYG9xQ,New Brunswick,NJ,Pubs,40.4980567440164,-74.4489870653596,$$,600
44,Arooga's,L62G08xR1OuXzMOgaqlMsg,East Brunswick,NJ,Sports Bars,40.415067,-74.371187,$$,284
45,Jk Luncheonette and Grill,BqSvB1K3F3N60uyW1cCoog,New Brunswick,NJ,Breakfast & Brunch,40.49269,-74.44793,0,4
46,Blackthorn Restaurant and Irish Pub,t9TNKhddbmd9S7PSWJLeRg,New Brunswick,NJ,Irish,40.4961717,-74.4432955,$$,42
