Category,Number of Restaurants,Average # of Reviews per Restaurant,Percentage of Ratings
American (New),2,1515.5,3.75
American (Traditional),2,429.5,4.0
Brazilian,1,1298.0,4.0
Cajun/Creole,2,1072.5,4.5
Chinese,3,475.0,4.333333333333333
Comfort Food,1,3891.0,4.0
Filipino,1,1546.0,4.0
French,3,1349.0,4.5
Gastropubs,1,367.0,4.5
Georgian,1,148.0,4.5
Italian,8,1674.5,4.125
Japanese,4,755.75,4.25
Korean,4,989.0,4.75
Mediterranean,1,413.0,4.0
Mexican,1,795.0,4.5
Pizza,2,2013.5,4.25
Ramen,2,5380.0,4.25
Seafood,3,2531.0,4.333333333333333
Shanghainese,1,5939.0,4.0
Tapas Bars,1,1847.0,4.0
Tapas/Small Plates,1,508.0,4.5
Thai,4,2572.75,4.5
Tuscan,1,723.0,4.0
