,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
0,Franklin Barbecue,MGzro82Fi4LYvc86acoONQ,Austin,TX,Barbeque,30.27009,-97.73126,$$,4620,4.5
1,Moonshine Patio Bar & Grill,cs6HfZNykLVitm09jWFqWg,Austin,TX,Southern,30.26386,-97.73796,$$,4461,4.5
2,Hopdoddy Burger Bar,bZiIIUcpgxh8mpKMDhdqbA,Austin,TX,Burgers,30.249649,-97.749907,$$,4532,4.0
3,Home Slice Pizza,1Eq16r_MSnvPsnIykBdy9w,Austin,TX,Pizza,30.2492,-97.74943,$$,3556,4.5
4,Uchi,zFaHweOJ40jjtvpGTjlspw,Austin,TX,Sushi Bars,30.25754,-97.75981,$$$$,2278,4.5
5,Salty Sow,AcFt364BrHyMu3VrSCKMOw,Austin,TX,American (Traditional),30.2836497259461,-97.7213180065155,$$,2575,4.5
6,Terry Black's Barbecue,YZs1gNSh_sN8JmN_nrpxeA,Austin,TX,Barbeque,30.2596915716907,-97.7548013627529,$$,2661,4.5
7,Uchiko,4sfF1paqVfXvzAIdzs6MQg,Austin,TX,Sushi Bars,30.31067,-97.74,$$$$,1658,4.5
8,la Barbecue,EPkf96UcG2W3ttlQphWUGQ,Austin,TX,Barbeque,30.2561254,-97.7223386,$$,2231,4.5
9,Bouldin Creek Cafe,qkpTiGcJbkNKgmCj4rmkkQ,Austin,TX,Vegetarian,30.24646,-97.75677,$$,2179,4.5
10,Gus's World Famous Fried Chicken,v1UzkU8lEWdjxq8byWFOKg,Austin,TX,Southern,30.2634862,-97.7417305,$,2203,4.0
11,Koriente,nXtn29mTWlYeHxvHSz4dfA,Austin,TX,Asian Fusion,30.267,-97.73597,$,1596,4.5
12,Odd Duck,uPWJtYJi76EniU0xrX-zbA,Austin,TX,American (Traditional),30.25452,-97.762064,$$$,1646,4.5
13,Banger's Sausage House & Beer Garden,7PZKJbMakI_WSbgA-DJUHA,Austin,TX,Beer Gardens,30.258905,-97.738413,$$,2290,4.0
14,Little Deli & Pizzeria,U9p0G4OOUWP425Ww8FHaGQ,Austin,TX,Delis,30.342656,-97.725445,$,1128,4.5
