,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
0,Diesel and Duke,IOyhF0TRcIFm5dwdIsUjVA,New Brunswick,NJ,Burgers,40.4997241,-74.4532267,$,176,4.5
1,418 Burgers,hmrXk8jrLredlvQmcYtvjA,Highland Park,NJ,American (Traditional),40.49993610299,-74.4253161549568,$,165,4.5
2,Seed Burger,Gh35sccryAIodatISAUKJg,New Brunswick,NJ,Burgers,40.49993,-74.45495,$$,54,4.5
3,Elevation Burger,QatkL63akw5foYQIcEzq_g,New Brunswick,NJ,Burgers,40.499325,-74.448637,0,34,3.5
4,White Rose Burgers,sDFz3CorqCqxTL9_HFPRMg,Highland Park,NJ,Burgers,40.502314,-74.415314,$,207,4.0
5,The Blue Horse,im0lceO_PEluTMZdcrC3uA,Highland Park,NJ,Diners,40.4992115419489,-74.4281546026468,$$,74,4.0
6,Tavern on George,wM8fhnGuFGKrgPWpoVV77Q,New Brunswick,NJ,Bars,40.49497,-74.44359,$$,83,4.0
7,Burgerim,Mr5g_xDNl1ghk8bRa0m79Q,New Brunswick,NJ,Burgers,40.49798,-74.44832,0,22,2.5
8,25 Burgers & Pizza,hSY-Fy7WrouIfm4BOqrC7g,New Brunswick,NJ,Burgers,40.4966223,-74.4468286,$,141,3.0
9,Destination Dogs,SVWxU5obi6tnHIGVl2a5fQ,New Brunswick,NJ,Hot Dogs,40.4947108291364,-74.4481708172015,$$,869,4.5
10,Zinburger Wine & Burger Bar,pJ7rVXvAmUjrFpBDvTNMRQ,Edison,NJ,Wine Bars,40.516728,-74.372622,$$,349,3.5
11,Fritz's Restaurant,KpJKPYcH9V37JE5gsWz0yQ,New Brunswick,NJ,American (Traditional),40.4992391255818,-74.451983932837,$,241,4.5
12,Smashburger,d8pOa2NMk8HGdefVon-CwA,North Brunswick,NJ,Burgers,40.4620365252511,-74.4605427027242,$$,102,3.5
13,INC American Bar & Kitchen,S9qg-6LQtkk99kBHZLv1Jg,New Brunswick,NJ,American (New),40.4925980248019,-74.4435093298896,$$,229,4.0
14,30 Burgers,cSLYiw4NLrgnDbtc_0k9Jw,East Brunswick,NJ,Burgers,40.45422,-74.39928,$,54,4.0
15,Five Guys,5yuZ8xyIcb11uNr8Y1XOug,North Brunswick,NJ,Burgers,40.4609401,-74.4587139,$$,37,3.5
16,Hansel 'n Griddle,t_adP1UMr8Hkjn3K--Y8Aw,New Brunswick,NJ,Sandwiches,40.4991354060364,-74.4527822900469,$,273,4.0
17,Elixir Bar & Grill,jakk8dqkNPArNqNg3mHeHA,Edison,NJ,Tex-Mex,40.5011909066979,-74.3927383121075,$$,152,4.0
18,Five Guys,ydINVSu6fYeLyoXH66P5-w,South Plainfield,NJ,Burgers,40.54962,-74.42569,$,39,4.0
19,Old Man Rafferty's,kPqMRmkKbz88cOJdcsifVA,New Brunswick,NJ,Bars,40.4965737,-74.4437916,$$,544,3.5
