,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
0,Bi-Rite Creamery,wGl_DyNxSv8KUtYgiuLhmA,San Francisco,CA,Ice Cream & Frozen Yogurt,37.761591,-122.425717,$,9522,4.5
1,Brenda's French Soul Food,lJAGnYzku5zSaLnQ_T6_GQ,San Francisco,CA,French,37.7829016035273,-122.419043442957,$$,10740,4.0
2,Gary Danko,WavvLdfdP6g8aZTtbBQHTw,San Francisco,CA,American (New),37.80587,-122.42058,$$$$,5439,4.5
3,Tartine Bakery & Cafe,ri7UUYmx21AgSpRsf4-9QA,San Francisco,CA,Bakeries,37.7614250022004,-122.424051321456,$$,7768,4.0
4,Hog Island Oyster Co,Xg-FyjVKAN70LO4u4Z1ozg,San Francisco,CA,Seafood,37.795831,-122.393303,$$,5819,4.5
5,Mitchell's Ice Cream,76smcUUGRvq3k1MVPUXbnA,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7442315,-122.422816,$,3885,4.5
6,House of Prime Rib,oT08T3Vpn1I7jDmrBBRMTw,San Francisco,CA,American (Traditional),37.79338,-122.4225,$$$,6966,4.0
7,Burma Superstar,eYXwVR4mMAjzkJnm5wneHQ,San Francisco,CA,Burmese,37.782787322998,-122.462539672852,$$,6656,4.0
8,The House,ZoZjbOYR-apY8XvommlNUA,San Francisco,CA,Asian Fusion,37.79851,-122.40706,$$$,4709,4.5
9,Kokkari Estiatorio,PsY5DMHxa5iNX_nX0T-qPA,San Francisco,CA,Greek,37.796996,-122.399661,$$$,4437,4.5
10,San Tung,M0JTO3oyu6gxh1mfFjU-dA,San Francisco,CA,Chinese,37.763693,-122.469008,$$,6668,4.0
11,B Patisserie,2XQm-uFcTS7oc8MFP-8olA,San Francisco,CA,Bakeries,37.78783,-122.44073,$$,2410,4.5
12,Nopa,ttarnopezxmp2ROB1N2PaA,San Francisco,CA,American (New),37.77483,-122.43746,$$$,5012,4.0
13,El Farolito,SGRmnarrNuVEsAjYdEoA0w,San Francisco,CA,Mexican,37.75265,-122.41812,$,4802,4.0
14,Fog Harbor Fish House,f-m7-hyFzkf0HSEeQ2s-9A,San Francisco,CA,Seafood,37.809041,-122.410233,$$,5703,4.0
15,Zazie,gqVl3RprESEqkIPeJH0yOg,San Francisco,CA,Breakfast & Brunch,37.765244,-122.4501138,$$,4303,4.0
16,Saigon Sandwich,hqQoVK0vadOX7_4gN1sh3g,San Francisco,CA,Vietnamese,37.7831519576568,-122.417318022037,$,3200,4.5
17,Sweet Maple,-DrR38H1Abk0wCyu9XOLug,San Francisco,CA,American (Traditional),37.785735681426,-122.43507770852,$$,3527,4.0
18,Golden Boy Pizza,PTFxtXS47ZVRCdZIrEWvGw,San Francisco,CA,Pizza,37.7997956,-122.4080729,$,3406,4.5
19,Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,San Francisco,CA,Bars,37.78818,-122.41458,$$$,2264,4.5
20,Tony's Pizza Napoletana,mSMZJj2pFvttWLpcDmgrEA,San Francisco,CA,Pizza,37.8003315377662,-122.409053979377,$$,4862,4.0
21,Sotto Mare Oysteria & Seafood,8dUaybEPHsZMgr1iKgqgMQ,San Francisco,CA,Seafood,37.79979,-122.40834,$$,3600,4.5
22,Foreign Cinema,n6L5VIGunR51-D55C-eYeQ,San Francisco,CA,Breakfast & Brunch,37.75637,-122.41925,$$$,4758,4.0
23,Golden Gate Bakery,m3xdxV8YNH5uh1N01xdnLA,San Francisco,CA,Bakeries,37.79633,-122.40703,$,3323,4.5
24,Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,San Francisco,CA,Ramen,37.785155,-122.432075,$$,2567,4.5
25,Little Star Pizza,__I9HmtBMV4dDkEgT22V4g,San Francisco,CA,Pizza,37.77753,-122.43798,$$,2853,4.5
26,Mama's On Washington Square,MvAo0hj9FXOeNL5PwBZ0fQ,San Francisco,CA,Breakfast & Brunch,37.801606,-122.409599,$$,4179,4.0
27,Chapeau!,L5vSeC_sa3TUQW_lticqyA,San Francisco,CA,French,37.78327,-122.46066,$$$,2674,4.5
28,Humphry Slocombe Ice Cream,47OC_X6KkiDDQ4jwoCUjFg,San Francisco,CA,Ice Cream & Frozen Yogurt,37.75279,-122.4122,$,3351,4.0
29,The Codmother Fish & Chips,PDhfVvcVXgBinZf5I6s1KQ,San Francisco,CA,British,37.8072702557489,-122.417093771758,$$,2918,4.5
30,La Taqueria,JARsJVKLPgs_yC3cwDnp7g,San Francisco,CA,Mexican,37.75088,-122.41805,$,3953,4.0
31,Bob's Donut & Pastry Shop,GXu3PD4IPsxIHpo011aydg,San Francisco,CA,Bakeries,37.79185,-122.42128,$,2916,4.5
32,Golden Gate Bridge,Lz7ydUVmsr2DekT9enEhvw,San Francisco,CA,Landmarks & Historical Buildings,37.8165970086601,-122.47807463501,0,1836,4.5
33,Twin Peaks,WV2fVK6OJfzn2BkRGpbP7A,San Francisco,CA,Parks,37.7521564122127,-122.447519302368,0,1111,4.5
34,State Bird Provisions,QZQGRJZ4bZCmNoXjs3z1XQ,San Francisco,CA,Tapas/Small Plates,37.78374,-122.433005,$$$,2683,4.0
35,Arizmendi Bakery,xDwEMq8kgT0eQepn90Jkvg,San Francisco,CA,Bakeries,37.7633882,-122.4664991,$,1897,4.5
36,Espetus Brazilian Steak House,ciEDsTWhajcdL3KuJqBRlw,San Francisco,CA,Steakhouses,37.7733327504928,-122.422131667494,$$$,3350,4.0
37,Mission Dolores Park,Tf_27JvnneEx0Tz79UwShg,San Francisco,CA,Parks,37.759764,-122.427052,0,1445,4.5
38,Dottie's True Blue Cafe,uEeWn6sPq-giWvfE9uhQ7A,San Francisco,CA,American (Traditional),37.7817050429594,-122.409839630127,$$,4427,4.0
39,Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,San Francisco,CA,Breakfast & Brunch,37.7642352,-122.4306936,$$,3168,4.0
40,Beretta,4KfQnlcSu4bbTqnvGdGptw,San Francisco,CA,Italian,37.75384,-122.42055,$$,3528,4.0
41,Suppenküche,DGyoVB9PdI9_jw0CNi_OPg,San Francisco,CA,German,37.7762603759766,-122.426391601562,$$,3092,4.0
42,Philz Coffee,akXf1BdFZjQb2fO8Ca7FtA,San Francisco,CA,Coffee & Tea,37.752397102831,-122.41426366546,$,1665,4.5
43,Schubert's Bakery,DyXoC_NhJW0Xx5j_OPQRHQ,San Francisco,CA,Bakeries,37.78267,-122.46493,$$,1653,4.5
44,Alcatraz Island,Y12NJdzfE-33OQtoHmomMw,San Francisco,CA,Museums,37.8269684873863,-122.422947920859,0,1667,4.5
45,Golden Gate Park,KIVq5BlJKTipwtB3NATX0g,San Francisco,CA,Parks,37.770518,-122.479878,0,1167,4.5
46,HRD,bUr4iq2mKKiBOu2HKynylg,San Francisco,CA,Korean,37.7811065758548,-122.395329724426,$$,2473,4.0
47,Anthony's Cookies,PrlH7YcQ22m9DyuWbxJjMA,San Francisco,CA,Bakeries,37.7502,-122.42013,$,1654,4.5
48,Arsicault Bakery,1U9_ZNruMLf4EL0pMoxb_w,San Francisco,CA,Bakeries,37.783429,-122.459307,$$,1089,4.5
49,Marrakech Magic Theater,bqSZc4Xh2o253DZXr5QOmg,San Francisco,CA,Comedy Clubs,37.7859712382638,-122.411803969896,$$,903,5.0
50,Brenda's French Soul Food,lJAGnYzku5zSaLnQ_T6_GQ,San Francisco,CA,French,37.7829016035273,-122.419043442957,$$,10740,4.0
51,Gary Danko,WavvLdfdP6g8aZTtbBQHTw,San Francisco,CA,American (New),37.80587,-122.42058,$$$$,5439,4.5
52,Tartine Bakery & Cafe,ri7UUYmx21AgSpRsf4-9QA,San Francisco,CA,Bakeries,37.7614250022004,-122.424051321456,$$,7768,4.0
53,Hog Island Oyster Co,Xg-FyjVKAN70LO4u4Z1ozg,San Francisco,CA,Seafood,37.795831,-122.393303,$$,5819,4.5
54,Mitchell's Ice Cream,76smcUUGRvq3k1MVPUXbnA,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7442315,-122.422816,$,3885,4.5
55,House of Prime Rib,oT08T3Vpn1I7jDmrBBRMTw,San Francisco,CA,American (Traditional),37.79338,-122.4225,$$$,6966,4.0
56,Burma Superstar,eYXwVR4mMAjzkJnm5wneHQ,San Francisco,CA,Burmese,37.782787322998,-122.462539672852,$$,6656,4.0
57,The House,ZoZjbOYR-apY8XvommlNUA,San Francisco,CA,Asian Fusion,37.79851,-122.40706,$$$,4709,4.5
58,Kokkari Estiatorio,PsY5DMHxa5iNX_nX0T-qPA,San Francisco,CA,Greek,37.796996,-122.399661,$$$,4437,4.5
59,San Tung,M0JTO3oyu6gxh1mfFjU-dA,San Francisco,CA,Chinese,37.763693,-122.469008,$$,6668,4.0
60,B Patisserie,2XQm-uFcTS7oc8MFP-8olA,San Francisco,CA,Bakeries,37.78783,-122.44073,$$,2410,4.5
61,Nopa,ttarnopezxmp2ROB1N2PaA,San Francisco,CA,American (New),37.77483,-122.43746,$$$,5012,4.0
62,El Farolito,SGRmnarrNuVEsAjYdEoA0w,San Francisco,CA,Mexican,37.75265,-122.41812,$,4802,4.0
63,Fog Harbor Fish House,f-m7-hyFzkf0HSEeQ2s-9A,San Francisco,CA,Seafood,37.809041,-122.410233,$$,5703,4.0
64,Zazie,gqVl3RprESEqkIPeJH0yOg,San Francisco,CA,Breakfast & Brunch,37.765244,-122.4501138,$$,4303,4.0
65,Saigon Sandwich,hqQoVK0vadOX7_4gN1sh3g,San Francisco,CA,Vietnamese,37.7831519576568,-122.417318022037,$,3200,4.5
66,Sweet Maple,-DrR38H1Abk0wCyu9XOLug,San Francisco,CA,American (Traditional),37.785735681426,-122.43507770852,$$,3527,4.0
