Category,Number of Restaurants,Average # of Reviews per Restaurant,Percentage of Ratings
American (New),6,339.8333333333333,4.0
American (Traditional),14,166.64285714285714,3.9642857142857144
Bars,2,494.5,4.25
Boating,1,148.0,4.5
Breakfast & Brunch,2,97.5,4.25
Burgers,10,158.2,4.0
Cafes,2,64.0,4.5
Diners,3,237.66666666666666,4.333333333333333
Dive Bars,2,35.0,4.5
Gastropubs,1,248.0,4.0
Hot Dogs,1,184.0,4.0
Mexican,1,39.0,4.0
Pubs,1,104.0,3.5
Resorts,1,115.0,3.5
Restaurants,1,6.0,2.0
Seafood,1,300.0,3.5
Sports Bars,1,12.0,4.0
