Category,Number of Restaurants,Average # of Reviews per Restaurant,Percentage of Ratings
American (Traditional),2,686.0,4.25
Asian Fusion,1,2026.0,4.0
Bakeries,1,4849.0,4.0
Brazilian,1,1299.0,4.0
Cajun/Creole,2,1099.5,4.25
Chinese,6,1152.5,4.25
Comfort Food,1,3891.0,4.0
Food Stands,1,9251.0,4.0
French,2,1915.0,4.5
Gastropubs,1,367.0,4.5
Georgian,1,148.0,4.5
Italian,8,1675.375,4.125
Japanese,3,867.3333333333334,4.166666666666667
Korean,3,1296.0,4.666666666666667
Mexican,1,796.0,4.5
Pizza,2,2015.5,4.25
Ramen,1,9848.0,4.0
Seafood,4,1931.75,4.25
Shanghainese,2,3001.0,4.0
Southern,1,1546.0,4.0
Tapas Bars,1,1847.0,4.0
Tapas/Small Plates,1,514.0,4.5
Thai,2,3726.0,4.5
Tuscan,1,723.0,4.0
Vietnamese,1,1289.0,4.0
