,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
0,Smoke N Clouds,pVI8VVCwPgM40qV7DqVrDQ,Brooklyn,NY,Vape Shops,40.7028634,-73.9874951,2,4,5.0
1,Kings Of Smoke,QdxuPWiA09UXkKEaqlHt_Q,New York,NY,Vape Shops,40.7188722398476,-73.9908434183168,0,1,5.0
2,Canal Smoke Shop,z-9RB7fyhUNzSWA6qsXYPw,New York,NY,Vape Shops,40.7203,-74.00345,2,1,5.0
3,Rozina Smoke Shop,Y91K22UMwa-nwLgyMuerKg,Long Island City,NY,Tobacco Shops,40.750972,-73.939611,2,1,5.0
4,Manhattan Tobacco,t_mbjLirfKKGL7A4dJSynA,New York,NY,Tobacco Shops,40.7681545,-73.9857203,0,1,5.0
5,Clinton Novelties Smoke Shop,oiEZ0L0XLw6wp4Ew9hL8pw,New York,NY,Tobacco Shops,40.72072,-73.98412,3,4,4.5
6,Mikey's Smoke Shop,hBJR0yhqacXqsTh52Vp0Gw,Brooklyn,NY,Tobacco Shops,40.69083,-73.99149,2,2,2.5
7,Smoke Scene,33dLybEPZXG5KWmARAaWEQ,New York,NY,Tobacco Shops,40.7637122,-73.9811377,2,16,4.5
8,Smoke N Vape,e7tLfoO_HdRFEQSsJf_gAQ,Manhattan,NY,Tobacco Shops,40.7603912,-73.990799,2,28,4.5
9,Brooklyn Smoke Shop,q8tmLaEkNBnKufr0aiQxFw,Brooklyn,NY,Tobacco Shops,40.6815652,-73.9759461,2,32,4.5
10,Grand Smoke Shop,YAFN2mH6-Q7gooTeOMSG5Q,New York,NY,Tobacco Shops,40.714234,-73.961147,4,4,3.0
11,559 Smoke Shop,-hvU8Lf0fHYnOJPqrg829w,South Slope,NY,Vape Shops,40.66614,-73.99197,0,2,5.0
12,The Smoking Shop,DCABiBZ3J071F9qOjZdx4g,New York,NY,Tobacco Shops,40.733877,-74.001795,2,55,4.5
13,Bushwick Smoke Shop,HjOFHa0vp0_dZInbN_9XyQ,Brooklyn,NY,Tobacco Shops,40.70606,-73.9230199,2,13,4.0
