Business,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
Bi-Rite Creamery,San Francisco,CA,Ice Cream & Frozen Yogurt,37.761591,-122.425717,1,9522,4.5
Brenda's French Soul Food,San Francisco,CA,French,37.7829016,-122.4190434,2,10740,4
Gary Danko,San Francisco,CA,American (New),37.80587,-122.42058,4,5439,4.5
Tartine Bakery & Cafe,San Francisco,CA,Bakeries,37.761425,-122.4240513,2,7768,4
Hog Island Oyster Co,San Francisco,CA,Seafood,37.795831,-122.393303,2,5819,4.5
Mitchell's Ice Cream,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7442315,-122.422816,1,3885,4.5
House of Prime Rib,San Francisco,CA,American (Traditional),37.79338,-122.4225,3,6966,4
Burma Superstar,San Francisco,CA,Burmese,37.78278732,-122.4625397,2,6656,4
The House,San Francisco,CA,Asian Fusion,37.79851,-122.40706,3,4709,4.5
Kokkari Estiatorio,San Francisco,CA,Greek,37.796996,-122.399661,3,4437,4.5
San Tung,San Francisco,CA,Chinese,37.763693,-122.469008,2,6668,4
B Patisserie,San Francisco,CA,Bakeries,37.78783,-122.44073,2,2410,4.5
Nopa,San Francisco,CA,American (New),37.77483,-122.43746,3,5012,4
El Farolito,San Francisco,CA,Mexican,37.75265,-122.41812,1,4802,4
Fog Harbor Fish House,San Francisco,CA,Seafood,37.809041,-122.410233,2,5703,4
Zazie,San Francisco,CA,Breakfast & Brunch,37.765244,-122.4501138,2,4303,4
Saigon Sandwich,San Francisco,CA,Vietnamese,37.78315196,-122.417318,1,3200,4.5
Sweet Maple,San Francisco,CA,American (Traditional),37.78573568,-122.4350777,2,3527,4
Golden Boy Pizza,San Francisco,CA,Pizza,37.7997956,-122.4080729,1,3406,4.5
Liholiho Yacht Club,San Francisco,CA,Bars,37.78818,-122.41458,3,2264,4.5
Tony's Pizza Napoletana,San Francisco,CA,Pizza,37.80033154,-122.409054,2,4862,4
Sotto Mare Oysteria & Seafood,San Francisco,CA,Seafood,37.79979,-122.40834,2,3600,4.5
Foreign Cinema,San Francisco,CA,Breakfast & Brunch,37.75637,-122.41925,3,4758,4
Golden Gate Bakery,San Francisco,CA,Bakeries,37.79633,-122.40703,1,3323,4.5
Marufuku Ramen SF,San Francisco,CA,Ramen,37.785155,-122.432075,2,2567,4.5
Little Star Pizza,San Francisco,CA,Pizza,37.77753,-122.43798,2,2853,4.5
Mama's On Washington Square,San Francisco,CA,Breakfast & Brunch,37.801606,-122.409599,2,4179,4
Chapeau!,San Francisco,CA,French,37.78327,-122.46066,3,2674,4.5
Humphry Slocombe Ice Cream,San Francisco,CA,Ice Cream & Frozen Yogurt,37.75279,-122.4122,1,3351,4
The Codmother Fish & Chips,San Francisco,CA,British,37.80727026,-122.4170938,2,2918,4.5
La Taqueria,San Francisco,CA,Mexican,37.75088,-122.41805,1,3954,4
Bob's Donut & Pastry Shop,San Francisco,CA,Bakeries,37.79185,-122.42128,1,2916,4.5
State Bird Provisions,San Francisco,CA,Tapas/Small Plates,37.78374,-122.433005,3,2683,4
Arizmendi Bakery,San Francisco,CA,Bakeries,37.7633882,-122.4664991,1,1897,4.5
Espetus Brazilian Steak House,San Francisco,CA,Steakhouses,37.77333275,-122.4221317,3,3350,4
Dottie's True Blue Cafe,San Francisco,CA,American (Traditional),37.78170504,-122.4098396,2,4427,4
Kitchen Story,San Francisco,CA,Breakfast & Brunch,37.7642352,-122.4306936,2,3168,4
Beretta,San Francisco,CA,Italian,37.75384,-122.42055,2,3528,4
Suppenküche,San Francisco,CA,German,37.77626038,-122.4263916,2,3092,4
Philz Coffee,San Francisco,CA,Coffee & Tea,37.7523971,-122.4142637,1,1665,4.5
Schubert's Bakery,San Francisco,CA,Bakeries,37.78267,-122.46493,2,1653,4.5
HRD,San Francisco,CA,Korean,37.78110658,-122.3953297,2,2473,4
Anthony's Cookies,San Francisco,CA,Bakeries,37.7502,-122.42013,1,1654,4.5
Arsicault Bakery,San Francisco,CA,Bakeries,37.783429,-122.459307,2,1089,4.5
Swan Oyster Depot,San Francisco,CA,Seafood,37.790939,-122.420796,2,2709,4
Marco Polo Italian Ice Cream,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7426223,-122.481885,1,1431,4.5
Anchor Oyster Bar,San Francisco,CA,Seafood,37.759689,-122.434609,3,1471,4.5
Shizen Vegan Sushi Bar & Izakaya,San Francisco,CA,Sushi Bars,37.768314,-122.421642,2,1498,4.5
Chez Maman East,San Francisco,CA,French,37.76243889,-122.3966923,2,2043,4.5
Plow,San Francisco,CA,Breakfast & Brunch,37.76253767,-122.395351,2,2519,4
Tacorea,San Francisco,CA,Mexican,37.7897794,-122.410717,2,1585,4.5
Tropisueno,San Francisco,CA,Cocktail Bars,37.78530085,-122.4039187,2,4330,4
Lou's Cafe,San Francisco,CA,Coffee & Tea,37.78045,-122.473308,2,1462,4.5
Limón Rotisserie,San Francisco,CA,Peruvian,37.7570514,-122.4164197,2,3130,4
Blue Bottle Coffee,San Francisco,CA,Coffee & Tea,37.77638,-122.423211,2,1669,4.5
Loló,San Francisco,CA,Tapas/Small Plates,37.7573462,-122.4214034,2,2100,4
Lolinda,San Francisco,CA,Steakhouses,37.756673,-122.4190868,3,1908,4
Absinthe Brasserie & Bar,San Francisco,CA,French,37.77714,-122.42268,3,3226,4
Hollywood Cafe,San Francisco,CA,Breakfast & Brunch,37.8065799,-122.41584,2,2053,4.5
Scoma's Restaurant,San Francisco,CA,Seafood,37.808944,-122.418462,3,3630,4
Good Mong Kok Bakery,San Francisco,CA,Bakeries,37.79545848,-122.4083584,1,2523,4
Wayfare Tavern,San Francisco,CA,American (Traditional),37.79394849,-122.402308,3,3821,4
Garden Creamery,San Francisco,CA,Ice Cream & Frozen Yogurt,37.75873013,-122.42038,1,776,4.5
Farmhouse Kitchen Thai Cuisine,San Francisco,CA,Thai,37.7602179,-122.4110749,2,2145,4
Limoncello,San Francisco,CA,Sandwiches,37.78731841,-122.4235914,2,777,5
L’Ardoise Bistro,San Francisco,CA,French,37.7665241,-122.4331385,3,1244,4.5
Mr Holmes Bakehouse,San Francisco,CA,Bakeries,37.78759094,-122.4183526,2,2384,4
Golden Bear Trading Company,San Francisco,CA,Grocery,37.7621609,-122.463128,2,1161,4.5
Blue Bottle Coffee,San Francisco,CA,Coffee & Tea,37.78246647,-122.4077533,2,2210,4
Mr. and Mrs. Miscellaneous,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7578152,-122.3880343,1,1420,4.5
Zanze's Cheesecake,San Francisco,CA,Bakeries,37.72994,-122.46984,2,968,4.5
Pearl's Deluxe Burgers,San Francisco,CA,Burgers,37.787823,-122.413699,2,2151,4
Philz Coffee,San Francisco,CA,Coffee & Tea,37.77566402,-122.3934518,1,1398,4.5
Frances,San Francisco,CA,American (New),37.76272202,-122.4322763,3,1498,4.5
Bourbon & Branch,San Francisco,CA,Cocktail Bars,37.78592,-122.41336,3,3062,4
Genki Crepes & Mini-Mart,San Francisco,CA,Desserts,37.78326,-122.46283,1,2191,4
Zero Zero,San Francisco,CA,Pizza,37.78163,-122.40204,2,3251,4
Rosamunde Sausage Grill - Haight St,San Francisco,CA,Hot Dogs,37.77183,-122.43114,1,1604,4.5
Marlowe,San Francisco,CA,American (New),37.77832005,-122.3967713,2,2678,4
Bar Crudo,San Francisco,CA,Seafood,37.77566736,-122.438271,3,1818,4
Pizzeria Delfina - Mission,San Francisco,CA,Pizza,37.7614143,-122.4242316,2,2267,4
È Tutto Qua,San Francisco,CA,Italian,37.7977599,-122.40625,2,2130,4
Benkyodo Co,San Francisco,CA,Bakeries,37.786366,-122.43011,1,965,4.5
Super Duper Burgers,San Francisco,CA,Burgers,37.78685407,-122.4039683,2,2730,4
Smitten Ice Cream,San Francisco,CA,Ice Cream & Frozen Yogurt,37.77635652,-122.4242036,1,2401,4
La Mar Cebichería Peruana,San Francisco,CA,Latin American,37.79741824,-122.3951298,3,3635,4
La Folie,San Francisco,CA,French,37.798136,-122.422036,4,1439,4.5
Surisan,San Francisco,CA,Korean,37.80678,-122.41756,2,1637,4.5
Boulevard,San Francisco,CA,American (New),37.79337,-122.39274,3,2641,4
The Italian Homemade Company,San Francisco,CA,Italian,37.801752,-122.411851,2,1408,4.5
Nara Restaurant & Sake Bar,San Francisco,CA,Japanese,37.77216653,-122.4306757,2,981,4.5
Cha Cha Cha,San Francisco,CA,Caribbean,37.7691434,-122.4520399,2,3195,4
Neighbor Bakehouse,San Francisco,CA,Bakeries,37.759631,-122.388171,2,720,4.5
Thanh Long,San Francisco,CA,Seafood,37.76017,-122.50609,3,2595,4
The Buena Vista,San Francisco,CA,Bars,37.8065091,-122.4207222,2,2550,4
Woodhouse Fish Company,San Francisco,CA,Seafood,37.78742,-122.43327,2,2198,4
Mandalay,San Francisco,CA,Burmese,37.7851484,-122.4643918,2,2116,4
Home,San Francisco,CA,Coffee & Tea,37.75445393,-122.4770139,1,1073,4.5
Philz Coffee,San Francisco,CA,Coffee & Tea,37.7601254,-122.4348964,1,1049,4.5
The 16th Avenue Tiled Steps,San Francisco,CA,Local Flavor,37.75626959,-122.4731481,1,603,5
Belly Good Cafe & Crepes,San Francisco,CA,Ice Cream & Frozen Yogurt,37.785091,-122.430635,1,1282,4.5
PPQ Dungeness Island,San Francisco,CA,Seafood,37.78233,-122.484454,2,3007,4
KUSAKABE,San Francisco,CA,Sushi Bars,37.79570177,-122.4028848,4,867,4.5
Eight AM,San Francisco,CA,American (New),37.806251,-122.419204,2,1225,4.5
Little Star Pizza,San Francisco,CA,Pizza,37.76625989,-122.422121,2,2029,4
