id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
SgfUsaXsvJU01KW9XmICjw,houlihans-new-brunswick-2,Houlihan's,https://s3-media2.fl.yelpcdn.com/bphoto/ZhVmKFuSTB6Rky2Y3eOexg/o.jpg,False,https://www.yelp.com/biz/houlihans-new-brunswick-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,155,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",3.5,"{'latitude': 40.4791586493505, 'longitude': -74.4230177226172}",[],$$,"{'address1': '55 US-1', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['55 US-1', 'New Brunswick, NJ 08901']}",+17324480500,(732) 448-0500,1836.425054544782
wM8fhnGuFGKrgPWpoVV77Q,tavern-on-george-new-brunswick,Tavern on George,https://s3-media2.fl.yelpcdn.com/bphoto/QJF6xVYg9-zKzhf04fXVHQ/o.jpg,False,https://www.yelp.com/biz/tavern-on-george-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,81,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 40.49497, 'longitude': -74.44359}",[],$$,"{'address1': '361 George St', 'address2': None, 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['361 George St', 'New Brunswick, NJ 08901']}",+17325456205,(732) 545-6205,757.2365459167904
BxUCY9fiTKQiU-CTLqK2XA,midori-sushi-highland-park,Midori Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/-4TPnqBqy9OpkIL4d5RxSw/o.jpg,False,https://www.yelp.com/biz/midori-sushi-highland-park?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,264,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 40.49922, 'longitude': -74.42867}","['pickup', 'delivery']",$$,"{'address1': '237 Raritan Ave', 'address2': '', 'address3': '', 'city': 'Highland Park', 'zip_code': '08904', 'country': 'US', 'state': 'NJ', 'display_address': ['237 Raritan Ave', 'Highland Park, NJ 08904']}",+17322464511,(732) 246-4511,1582.451285056381
mmFBqps7L4dl8oUEkNYL7g,noodle-gourmet-new-brunswick-2,Noodle Gourmet,https://s3-media4.fl.yelpcdn.com/bphoto/oi4YgvMZBa0Db_1wVxtpOQ/o.jpg,False,https://www.yelp.com/biz/noodle-gourmet-new-brunswick-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,331,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",3.0,"{'latitude': 40.49801, 'longitude': -74.44856}",['delivery'],$,"{'address1': '43 Easton Ave', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['43 Easton Ave', 'New Brunswick, NJ 08901']}",+17328288188,(732) 828-8188,1238.8077912833576
DPyTHTX6jr1ND7PXYS9z4Q,stage-left-steak-new-brunswick,Stage Left Steak,https://s3-media1.fl.yelpcdn.com/bphoto/twcwgbL9uGbnymENFTq8rA/o.jpg,False,https://www.yelp.com/biz/stage-left-steak-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,187,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]",3.5,"{'latitude': 40.493785005224, 'longitude': -74.4437874349408}",['delivery'],$$$,"{'address1': '5 Livingston Ave', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['5 Livingston Ave', 'New Brunswick, NJ 08901']}",+17328284444,(732) 828-4444,638.1857739928903
nKWDorwjybpPZWSWWldxnA,rutgers-gardens-new-brunswick-2,Rutgers Gardens,https://s3-media2.fl.yelpcdn.com/bphoto/dnIpboMr5030isSXjrhUKQ/o.jpg,False,https://www.yelp.com/biz/rutgers-gardens-new-brunswick-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,47,"[{'alias': 'gardens', 'title': 'Botanical Gardens'}]",4.5,"{'latitude': 40.473715, 'longitude': -74.423114}",[],,"{'address1': '112 Ryders Ln', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['112 Ryders Ln', 'New Brunswick, NJ 08901']}",+17329328451,(732) 932-8451,2228.708727002948
Wn4OJxDd4wZFAZet-eSrhw,george-street-ale-house-new-brunswick-3,George Street Ale House,https://s3-media2.fl.yelpcdn.com/bphoto/SKXhUx96TC-GO5Kcnhy4_A/o.jpg,False,https://www.yelp.com/biz/george-street-ale-house-new-brunswick-3?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,245,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",3.5,"{'latitude': 40.49567, 'longitude': -74.44435}","['pickup', 'delivery']",$$,"{'address1': '378 George St', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['378 George St', 'New Brunswick, NJ 08901']}",+17325432408,(732) 543-2408,849.9589888312718
MLzryqQI4nzOVsb0ABybpw,the-ale-n-wich-pub-new-brunswick,The Ale 'N 'Wich Pub,https://s3-media1.fl.yelpcdn.com/bphoto/FXe4C61Oh1EkHimFxSjtpQ/o.jpg,False,https://www.yelp.com/biz/the-ale-n-wich-pub-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,67,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'divebars', 'title': 'Dive Bars'}]",4.5,"{'latitude': 40.4961967468262, 'longitude': -74.4560699462891}",[],$,"{'address1': '246 Hamilton St', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['246 Hamilton St', 'New Brunswick, NJ 08901']}",+17327459496,(732) 745-9496,1546.120653051804
PnGgduDWQOOEIrDJpqpxcg,sophies-bistro-somerset,Sophie's Bistro,https://s3-media2.fl.yelpcdn.com/bphoto/hUV3JYPsaCXkU-Ww6J38bA/o.jpg,False,https://www.yelp.com/biz/sophies-bistro-somerset?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,210,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 40.491369, 'longitude': -74.4723549}",[],$$,"{'address1': '700 Hamilton St', 'address2': '', 'address3': '', 'city': 'Somerset', 'zip_code': '08873', 'country': 'US', 'state': 'NJ', 'display_address': ['700 Hamilton St', 'Somerset, NJ 08873']}",+17325457778,(732) 545-7778,2674.830603704228
LFhqaEVryfeS-KGXrXTdRQ,roosterspin-new-brunswick-2,Roosterspin,https://s3-media1.fl.yelpcdn.com/bphoto/v8FZbfaJHIdC6i_rMTvmeQ/o.jpg,False,https://www.yelp.com/biz/roosterspin-new-brunswick-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,141,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",3.5,"{'latitude': 40.496362, 'longitude': -74.445401}",[],$$,"{'address1': '120 Albany St', 'address2': '', 'address3': None, 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['120 Albany St', 'New Brunswick, NJ 08901']}",+17325454500,(732) 545-4500,955.1812978177129
